,time/s,full,bubble
2100,2.1,1.03703,1.03611
2101,2.101,1.03754,1.03661
2102,2.102,1.03889,1.03577
2103,2.103,1.04093,1.03451
2104,2.104,1.03737,1.0346
2105,2.105,1.03628,1.03611
2106,2.106,1.03957,1.03569
2107,2.107,1.03527,1.03309
2108,2.108,1.03729,1.03217
2109,2.109,1.03754,1.03451
2110,2.11,1.03864,1.03644
2111,2.111,1.03982,1.03451
2112,2.112,1.03763,1.03468
2113,2.113,1.03754,1.0351
2114,2.114,1.03864,1.03644
2115,2.115,1.03729,1.03493
2116,2.116,1.03737,1.03443
2117,2.117,1.0394,1.03376
2118,2.118,1.03864,1.03493
2119,2.119,1.03779,1.03359
2120,2.12,1.03779,1.03729
2121,2.121,1.03729,1.03376
2122,2.122,1.03779,1.03109
2123,2.123,1.03864,1.03342
2124,2.124,1.04178,1.03527
2125,2.125,1.03898,1.03644
2126,2.126,1.03502,1.03134
2127,2.127,1.03594,1.03636
2128,2.128,1.03678,1.03813
2129,2.129,1.03805,1.03822
2130,2.13,1.03957,1.03746
2131,2.131,1.03923,1.03476
2132,2.132,1.03644,1.03687
2133,2.133,1.03754,1.03932
2134,2.134,1.03661,1.03847
2135,2.135,1.03678,1.03915
2136,2.136,1.03966,1.03401
2137,2.137,1.03746,1.03687
2138,2.138,1.03813,1.03712
2139,2.139,1.03813,1.03872
2140,2.14,1.03729,1.03468
2141,2.141,1.03737,1.02546
2142,2.142,1.03779,1.02448
2143,2.143,1.03577,1.02235
2144,2.144,1.03915,1.023
2145,2.145,1.03788,1.01829
2146,2.146,1.03847,1.01983
2147,2.147,1.03966,1.03577
2148,2.148,1.03855,1.03754
2149,2.149,1.03687,1.03644
2150,2.15,1.03915,1.02284
2151,2.151,1.04016,1.00726
2152,2.152,1.03822,1.00404
2153,2.153,1.03586,1.00139
2154,2.154,1.03619,1.00553
2155,2.155,1.03847,1.01748
2156,2.156,1.03788,1.01772
2157,2.157,1.03695,1.00837
2158,2.158,1.03915,0.99844
2159,2.159,1.03653,0.9936
2160,2.16,1.03763,0.99736
2161,2.161,1.03906,1.00892
2162,2.162,1.03703,1.02284
2163,2.163,1.03864,1.03159
2164,2.164,1.03906,1.0351
2165,2.165,1.03763,1.03476
2166,2.166,1.03729,1.03577
2167,2.167,1.03915,1.0351
2168,2.168,1.04016,1.03001
2169,2.169,1.03611,1.03468
2170,2.17,1.03703,1.03746
2171,2.171,1.03813,1.03535
2172,2.172,1.03864,1.03334
2173,2.173,1.03636,1.03109
2174,2.174,1.03949,1.03687
2175,2.175,1.0372,1.03813
2176,2.176,1.04152,1.03602
2177,2.177,1.03746,1.03401
2178,2.178,1.03763,1.03292
2179,2.179,1.03661,1.03401
2180,2.18,1.03678,1.03594
2181,2.181,1.03712,1.03493
2182,2.182,1.03695,1.03309
2183,2.183,1.03544,1.03619
2184,2.184,1.03906,1.03813
2185,2.185,1.03661,1.03864
2186,2.186,1.03847,1.03577
2187,2.187,1.03746,1.03117
2188,2.188,1.03839,1.03855
2189,2.189,1.03923,1.03915
2190,2.19,1.03729,1.03737
2191,2.191,1.03611,1.0367
2192,2.192,1.0405,1.03586
2193,2.193,1.03847,1.03401
2194,2.194,1.03544,1.03468
2195,2.195,1.03839,1.03426
2196,2.196,1.03577,1.03125
2197,2.197,1.0383,1.02943
2198,2.198,1.03923,1.03695
2199,2.199,1.03644,1.03712
2200,2.2,1.03577,1.03552
2201,2.201,1.03966,1.03434
2202,2.202,1.03822,1.03763
2203,2.203,1.03653,1.03898
2204,2.204,1.03687,1.03746
2205,2.205,1.03839,1.03594
2206,2.206,1.03763,1.03493
2207,2.207,1.03712,1.03418
2208,2.208,1.03796,1.03611
2209,2.209,1.03602,1.03602
2210,2.21,1.03991,1.03067
2211,2.211,1.03881,1.03493
2212,2.212,1.03805,1.03493
2213,2.213,1.03839,1.0356
2214,2.214,1.04169,1.03418
2215,2.215,1.03594,1.03142
2216,2.216,1.0383,1.03518
2217,2.217,1.03569,1.03729
2218,2.218,1.03822,1.03636
2219,2.219,1.03915,1.03687
2220,2.22,1.03763,1.03544
2221,2.221,1.0394,1.03636
2222,2.222,1.03628,1.03653
2223,2.223,1.04067,1.03586
2224,2.224,1.03805,1.03443
2225,2.225,1.03569,1.0351
2226,2.226,1.03695,1.03779
2227,2.227,1.03746,1.03746
2228,2.228,1.0367,1.0351
2229,2.229,1.03518,1.03535
2230,2.23,1.03949,1.03644
2231,2.231,1.0351,1.03813
2232,2.232,1.03813,1.03855
2233,2.233,1.03872,1.03796
2234,2.234,1.03855,1.03796
2235,2.235,1.03644,1.03796
2236,2.236,1.0383,1.03839
2237,2.237,1.03932,1.03502
2238,2.238,1.04016,1.03376
2239,2.239,1.03586,1.03502
2240,2.24,1.03628,1.03746
2241,2.241,1.03915,1.03594
2242,2.242,1.03796,1.03409
2243,2.243,1.03788,1.03351
2244,2.244,1.03813,1.03569
2245,2.245,1.03864,1.03636
2246,2.246,1.03602,1.03359
2247,2.247,1.0383,1.03393
2248,2.248,1.03754,1.03334
2249,2.249,1.03847,1.03426
2250,2.25,1.03957,1.03661
2251,2.251,1.03949,1.03384
2252,2.252,1.03796,1.03393
2253,2.253,1.03678,1.03535
2254,2.254,1.03687,1.03932
2255,2.255,1.03746,1.04101
2256,2.256,1.03712,1.03771
2257,2.257,1.03999,1.03847
2258,2.258,1.03771,1.03746
2259,2.259,1.04016,1.0372
2260,2.26,1.03847,1.03586
2261,2.261,1.03788,1.03628
2262,2.262,1.03999,1.03544
2263,2.263,1.03822,1.03813
2264,2.264,1.03932,1.03788
2265,2.265,1.03678,1.0383
2266,2.266,1.03644,1.03552
2267,2.267,1.03966,1.03703
2268,2.268,1.03779,1.03611
2269,2.269,1.03906,1.03729
2270,2.27,1.03687,1.0383
2271,2.271,1.03864,1.03636
2272,2.272,1.03805,1.03779
2273,2.273,1.03687,1.03915
2274,2.274,1.03619,1.0367
2275,2.275,1.03915,1.03771
2276,2.276,1.04067,1.03393
2277,2.277,1.03898,1.03763
2278,2.278,1.03275,1.03915
2279,2.279,1.03451,1.03611
2280,2.28,1.03771,1.03426
2281,2.281,1.03737,1.03326
2282,2.282,1.0372,1.0351
2283,2.283,1.03949,1.03737
2284,2.284,1.03729,1.03602
2285,2.285,1.03788,1.03518
2286,2.286,1.03822,1.03712
2287,2.287,1.03822,1.03703
2288,2.288,1.03855,1.03847
2289,2.289,1.03763,1.03401
2290,2.29,1.03906,1.03384
2291,2.291,1.0372,1.03628
2292,2.292,1.03822,1.0346
2293,2.293,1.03746,1.03544
2294,2.294,1.03678,1.03577
2295,2.295,1.03847,1.03678
2296,2.296,1.03552,1.03409
2297,2.297,1.04067,1.03737
2298,2.298,1.03703,1.03678
2299,2.299,1.03678,1.03636
2300,2.3,1.03602,1.03966
2301,2.301,1.03881,1.04016
2302,2.302,1.03687,1.03619
2303,2.303,1.03712,1.03636
2304,2.304,1.03746,1.03653
2305,2.305,1.03586,1.03678
2306,2.306,1.03426,1.03779
2307,2.307,1.03687,1.03729
2308,2.308,1.0367,1.03401
2309,2.309,1.03805,1.03476
2310,2.31,1.0367,1.03923
2311,2.311,1.0367,1.03864
2312,2.312,1.0351,1.03695
2313,2.313,1.03779,1.0351
2314,2.314,1.03864,1.03754
2315,2.315,1.03932,1.03754
2316,2.316,1.03813,1.03619
2317,2.317,1.0372,1.03703
2318,2.318,1.03611,1.03367
2319,2.319,1.03712,1.03594
2320,2.32,1.0356,1.03729
2321,2.321,1.03763,1.03409
2322,2.322,1.03822,1.03443
2323,2.323,1.04067,1.03502
2324,2.324,1.03594,1.03611
2325,2.325,1.03451,1.03443
2326,2.326,1.03544,1.03476
2327,2.327,1.03628,1.03434
2328,2.328,1.03678,1.03569
2329,2.329,1.03779,1.03687
2330,2.33,1.03737,1.03317
2331,2.331,1.03746,1.0325
2332,2.332,1.04161,1.03653
2333,2.333,1.03991,1.03493
2334,2.334,1.03746,1.03746
2335,2.335,1.03813,1.03476
2336,2.336,1.0367,1.03418
2337,2.337,1.03661,1.03468
2338,2.338,1.03754,1.0356
2339,2.339,1.03872,1.03569
2340,2.34,1.03619,1.03485
2341,2.341,1.0383,1.03485
2342,2.342,1.03518,1.03468
2343,2.343,1.03881,1.03661
2344,2.344,1.03889,1.03628
2345,2.345,1.03552,1.0346
2346,2.346,1.0351,1.03476
2347,2.347,1.03771,1.03544
2348,2.348,1.0394,1.03771
2349,2.349,1.03779,1.03384
2350,2.35,1.03729,1.03426
2351,2.351,1.03434,1.03217
2352,2.352,1.03822,1.02219
2353,2.353,1.03771,1.01563
2354,2.354,1.03678,1.01043
2355,2.355,1.0356,1.00995
2356,2.356,1.03932,1.01003
2357,2.357,1.03493,1.01506
2358,2.358,1.03535,1.02056
2359,2.359,1.03544,1.02629
2360,2.36,1.03906,1.03175
2361,2.361,1.03703,1.03367
2362,2.362,1.03974,1.03468
2363,2.363,1.03602,1.03334
2364,2.364,1.03695,1.03275
2365,2.365,1.03678,1.03342
2366,2.366,1.03847,1.03619
2367,2.367,1.03737,1.03712
2368,2.368,1.03577,1.03451
2369,2.369,1.04042,1.03746
2370,2.37,1.0372,1.03527
2371,2.371,1.03923,1.03915
2372,2.372,1.03805,1.03966
2373,2.373,1.03678,1.03619
2374,2.374,1.03999,1.03678
2375,2.375,1.03864,1.03771
2376,2.376,1.03737,1.03644
2377,2.377,1.03602,1.03326
2378,2.378,1.03619,1.03401
2379,2.379,1.03864,1.03401
2380,2.38,1.03746,1.03586
2381,2.381,1.03594,1.03544
2382,2.382,1.03966,1.03426
2383,2.383,1.03771,1.03468
2384,2.384,1.03518,1.03636
2385,2.385,1.03619,1.0356
2386,2.386,1.03703,1.03535
2387,2.387,1.03872,1.03351
2388,2.388,1.03644,1.03234
2389,2.389,1.03779,1.03342
2390,2.39,1.03644,1.03034
2391,2.391,1.03813,1.02777
2392,2.392,1.03788,1.03209
2393,2.393,1.03611,1.03552
2394,2.394,1.03586,1.03619
2395,2.395,1.03881,1.03434
2396,2.396,1.03737,1.03577
2397,2.397,1.03932,1.03628
2398,2.398,1.03712,1.03636
2399,2.399,1.03991,1.03653
2400,2.4,1.03999,1.03746
2401,2.401,1.03594,1.03284
2402,2.402,1.03864,1.03577
2403,2.403,1.03763,1.03746
2404,2.404,1.03847,1.0383
2405,2.405,1.0367,1.03746
2406,2.406,1.03991,1.0346
2407,2.407,1.04025,1.03619
2408,2.408,1.03678,1.03779
2409,2.409,1.03644,1.03889
2410,2.41,1.03779,1.03644
2411,2.411,1.0367,1.03695
2412,2.412,1.03822,1.0383
2413,2.413,1.03653,1.03855
2414,2.414,1.03881,1.03644
2415,2.415,1.03915,1.03443
2416,2.416,1.03763,1.03485
2417,2.417,1.03932,1.03779
2418,2.418,1.03678,1.03628
2419,2.419,1.03687,1.03991
2420,2.42,1.03932,1.03476
2421,2.421,1.03729,1.03636
2422,2.422,1.03881,1.03636
2423,2.423,1.03695,1.03367
2424,2.424,1.03644,1.03367
2425,2.425,1.03822,1.03476
2426,2.426,1.03763,1.03763
2427,2.427,1.03898,1.03476
2428,2.428,1.03864,1.03695
2429,2.429,1.03661,1.03628
2430,2.43,1.03695,1.03687
2431,2.431,1.04033,1.03602
2432,2.432,1.03729,1.03678
2433,2.433,1.03779,1.03527
2434,2.434,1.03712,1.03586
2435,2.435,1.03754,1.03594
2436,2.436,1.03535,1.03527
2437,2.437,1.0372,1.03518
2438,2.438,1.03746,1.03409
2439,2.439,1.0405,1.03317
2440,2.44,1.04127,1.03678
2441,2.441,1.03855,1.03569
2442,2.442,1.03577,1.03393
2443,2.443,1.03889,1.03409
2444,2.444,1.03602,1.03653
2445,2.445,1.03661,1.03468
2446,2.446,1.03746,1.03502
2447,2.447,1.03535,1.03468
2448,2.448,1.03636,1.03409
2449,2.449,1.03864,1.03586
2450,2.45,1.03915,1.03763
2451,2.451,1.03695,1.03771
2452,2.452,1.03476,1.03544
2453,2.453,1.03703,1.03527
2454,2.454,1.03864,1.03653
2455,2.455,1.03898,1.03813
2456,2.456,1.03779,1.03695
2457,2.457,1.03359,1.03619
2458,2.458,1.03619,1.03661
2459,2.459,1.03991,1.03864
2460,2.46,1.03805,1.03779
2461,2.461,1.0367,1.03569
2462,2.462,1.03703,1.03661
2463,2.463,1.03923,1.03712
2464,2.464,1.03974,1.03966
2465,2.465,1.03746,1.03991
2466,2.466,1.03577,1.03594
2467,2.467,1.03881,1.03611
2468,2.468,1.03957,1.03906
2469,2.469,1.03779,1.03796
2470,2.47,1.0383,1.03695
2471,2.471,1.03864,1.03393
2472,2.472,1.03855,1.03485
2473,2.473,1.03712,1.03746
2474,2.474,1.03729,1.03569
2475,2.475,1.03611,1.03476
2476,2.476,1.03678,1.03259
2477,2.477,1.03678,1.03535
2478,2.478,1.03661,1.03695
2479,2.479,1.03779,1.03712
2480,2.48,1.03796,1.03317
2481,2.481,1.03805,1.03468
2482,2.482,1.03771,1.03661
2483,2.483,1.03822,1.03847
2484,2.484,1.03906,1.03644
2485,2.485,1.03779,1.03359
2486,2.486,1.03577,1.03577
2487,2.487,1.03982,1.03468
2488,2.488,1.03687,1.03502
2489,2.489,1.03729,1.03544
2490,2.49,1.04008,1.0351
2491,2.491,1.03653,1.0346
2492,2.492,1.03796,1.03644
2493,2.493,1.03737,1.03552
2494,2.494,1.03687,1.03376
2495,2.495,1.03661,1.02976
2496,2.496,1.04101,1.0356
2497,2.497,1.0367,1.03695
2498,2.498,1.03687,1.03351
2499,2.499,1.03822,1.03535
2500,2.5,1.03737,1.03393
2501,2.501,1.03678,1.03611
2502,2.502,1.03712,1.03779
2503,2.503,1.03468,1.03468
2504,2.504,1.03813,1.03628
2505,2.505,1.03703,1.03805
2506,2.506,1.03746,1.0394
2507,2.507,1.03864,1.03796
2508,2.508,1.03712,1.03805
2509,2.509,1.03796,1.03619
2510,2.51,1.03763,1.03805
2511,2.511,1.03779,1.03813
2512,2.512,1.03889,1.03906
2513,2.513,1.03602,1.03611
2514,2.514,1.03779,1.03746
2515,2.515,1.03872,1.03796
2516,2.516,1.03881,1.03855
2517,2.517,1.03678,1.03779
2518,2.518,1.03813,1.03636
2519,2.519,1.0367,1.03982
2520,2.52,1.03813,1.03864
2521,2.521,1.03957,1.03695
2522,2.522,1.03771,1.0356
2523,2.523,1.03611,1.03788
2524,2.524,1.03779,1.03889
2525,2.525,1.03872,1.03527
2526,2.526,1.03771,1.03502
2527,2.527,1.03864,1.03779
2528,2.528,1.03678,1.0346
2529,2.529,1.0367,1.03746
2530,2.53,1.03779,1.03729
2531,2.531,1.03703,1.03518
2532,2.532,1.03678,1.0356
2533,2.533,1.03611,1.03636
2534,2.534,1.0367,1.03678
2535,2.535,1.03729,1.0351
2536,2.536,1.03898,1.03401
2537,2.537,1.03822,1.03426
2538,2.538,1.03577,1.03737
2539,2.539,1.03847,1.03754
2540,2.54,1.03712,1.03712
2541,2.541,1.03619,1.03493
2542,2.542,1.03712,1.03661
2543,2.543,1.03712,1.03678
2544,2.544,1.03779,1.03737
2545,2.545,1.03644,1.03518
2546,2.546,1.03991,1.03535
2547,2.547,1.03813,1.03678
2548,2.548,1.03754,1.04067
2549,2.549,1.03644,1.03653
2550,2.55,1.03628,1.03275
2551,2.551,1.03881,1.03242
2552,2.552,1.03796,1.03393
2553,2.553,1.03619,1.03451
2554,2.554,1.03703,1.03476
2555,2.555,1.03754,1.03552
2556,2.556,1.03577,1.03434
2557,2.557,1.03695,1.03712
2558,2.558,1.03839,1.03746
2559,2.559,1.03796,1.03754
2560,2.56,1.03754,1.03611
2561,2.561,1.03763,1.03898
2562,2.562,1.03864,1.03771
2563,2.563,1.03527,1.03628
2564,2.564,1.03569,1.03636
2565,2.565,1.03779,1.03754
2566,2.566,1.03839,1.03687
2567,2.567,1.03661,1.03426
2568,2.568,1.03535,1.03309
2569,2.569,1.03661,1.03636
2570,2.57,1.03729,1.03393
2571,2.571,1.03737,1.03763
2572,2.572,1.03661,1.03881
2573,2.573,1.03864,1.03535
2574,2.574,1.0372,1.03552
2575,2.575,1.03687,1.03695
2576,2.576,1.03889,1.03661
2577,2.577,1.04331,1.03771
2578,2.578,1.03754,1.03746
2579,2.579,1.03611,1.03915
2580,2.58,1.03788,1.03855
2581,2.581,1.03898,1.03932
2582,2.582,1.0383,1.03628
2583,2.583,1.03855,1.03628
2584,2.584,1.03661,1.03367
2585,2.585,1.03754,1.03326
2586,2.586,1.03796,1.03476
2587,2.587,1.03889,1.03426
2588,2.588,1.03653,1.03493
2589,2.589,1.03678,1.03628
2590,2.59,1.03957,1.03485
2591,2.591,1.0367,1.03594
2592,2.592,1.03788,1.03317
2593,2.593,1.03661,1.03628
2594,2.594,1.03839,1.03822
2595,2.595,1.03906,1.03864
2596,2.596,1.0383,1.03847
2597,2.597,1.03661,1.03628
2598,2.598,1.03763,1.03619
2599,2.599,1.03923,1.03426
2600,2.6,1.03628,1.0325
2601,2.601,1.03813,1.03611
2602,2.602,1.03847,1.03754
2603,2.603,1.03636,1.03915
2604,2.604,1.03577,1.03839
2605,2.605,1.03796,1.03628
2606,2.606,1.03602,1.03142
2607,2.607,1.03577,1.03234
2608,2.608,1.03754,1.03569
2609,2.609,1.03729,1.03326
2610,2.61,1.0367,1.02513
2611,2.611,1.04033,1.01554
2612,2.612,1.03813,1.0129
2613,2.613,1.03754,1.01314
2614,2.614,1.03847,1.01346
2615,2.615,1.03805,1.01218
2616,2.616,1.03779,1.009
2617,2.617,1.03712,1.01571
2618,2.618,1.03779,1.03267
2619,2.619,1.03586,1.03687
2620,2.62,1.03932,1.03687
2621,2.621,1.03535,1.03611
2622,2.622,1.03822,1.03771
2623,2.623,1.03763,1.03855
2624,2.624,1.04067,1.03577
2625,2.625,1.03527,1.03451
2626,2.626,1.03527,1.0367
2627,2.627,1.03813,1.03695
2628,2.628,1.03949,1.03569
2629,2.629,1.03881,1.03451
2630,2.63,1.03434,1.03577
2631,2.631,1.03779,1.04186
2632,2.632,1.03915,1.03932
2633,2.633,1.03636,1.04093
2634,2.634,1.03746,1.03611
2635,2.635,1.03746,1.03982
2636,2.636,1.03703,1.04204
2637,2.637,1.03779,1.03796
2638,2.638,1.03957,1.03855
2639,2.639,1.03779,1.03695
2640,2.64,1.03636,1.03906
2641,2.641,1.03949,1.03864
2642,2.642,1.03966,1.04144
2643,2.643,1.0372,1.03881
2644,2.644,1.03982,1.03796
2645,2.645,1.03644,1.03974
2646,2.646,1.03594,1.03923
2647,2.647,1.03687,1.03619
2648,2.648,1.03746,1.0383
2649,2.649,1.03788,1.03577
2650,2.65,1.03602,1.03855
2651,2.651,1.03687,1.04033
2652,2.652,1.03864,1.03771
2653,2.653,1.03586,1.03518
2654,2.654,1.03746,1.03822
2655,2.655,1.03754,1.0383
2656,2.656,1.0367,1.03839
2657,2.657,1.03602,1.03788
2658,2.658,1.03661,1.03376
2659,2.659,1.0367,1.04238
2660,2.66,1.03611,1.03847
2661,2.661,1.03678,1.03864
2662,2.662,1.03569,1.02736
2663,2.663,1.03628,1.03923
2664,2.664,1.03443,1.03855
2665,2.665,1.0356,1.03864
2666,2.666,1.03729,1.03813
2667,2.667,1.03796,1.03661
2668,2.668,1.03451,1.03822
2669,2.669,1.03991,1.04118
2670,2.67,1.03822,1.03763
2671,2.671,1.0351,1.03678
2672,2.672,1.03932,1.03881
2673,2.673,1.04008,1.03889
2674,2.674,1.03847,1.03864
2675,2.675,1.03855,1.04008
2676,2.676,1.03754,1.03796
2677,2.677,1.03855,1.03822
2678,2.678,1.03687,1.03898
2679,2.679,1.03847,1.03822
2680,2.68,1.03949,1.03434
2681,2.681,1.03855,1.03653
2682,2.682,1.03771,1.03779
2683,2.683,1.03611,1.03991
2684,2.684,1.03619,1.03636
2685,2.685,1.03974,1.03552
2686,2.686,1.03872,1.03242
2687,2.687,1.0383,1.0383
2688,2.688,1.04042,1.03949
2689,2.689,1.03898,1.03628
2690,2.69,1.03729,1.03644
2691,2.691,1.03923,1.04016
2692,2.692,1.03915,1.04118
2693,2.693,1.03611,1.04016
2694,2.694,1.03872,1.03619
2695,2.695,1.03426,1.03678
2696,2.696,1.03678,1.03847
2697,2.697,1.03468,1.04008
2698,2.698,1.03636,1.03864
2699,2.699,1.03703,1.03847
2700,2.7,1.03957,1.03075
2701,2.701,1.03932,1.03881
2702,2.702,1.03619,1.03653
2703,2.703,1.03855,1.03864
2704,2.704,1.03966,1.03889
2705,2.705,1.03703,1.03729
2706,2.706,1.0372,1.0383
2707,2.707,1.03434,1.03796
2708,2.708,1.03864,1.03518
2709,2.709,1.03703,1.03636
2710,2.71,1.03763,1.03602
2711,2.711,1.03872,1.03771
2712,2.712,1.03847,1.03729
2713,2.713,1.03855,1.03476
2714,2.714,1.03644,1.03644
2715,2.715,1.03636,1.03805
2716,2.716,1.03805,1.03872
2717,2.717,1.03779,1.03451
2718,2.718,1.03636,1.03384
2719,2.719,1.03982,1.03653
2720,2.72,1.0383,1.04025
2721,2.721,1.03493,1.03771
2722,2.722,1.03569,1.03644
2723,2.723,1.03661,1.03586
2724,2.724,1.03619,1.03729
2725,2.725,1.0372,1.04152
2726,2.726,1.03754,1.03754
2727,2.727,1.03847,1.03889
2728,2.728,1.03712,1.04212
2729,2.729,1.04025,1.03881
2730,2.73,1.03703,1.03703
2731,2.731,1.03628,1.04195
2732,2.732,1.03644,1.03957
2733,2.733,1.03653,1.04084
2734,2.734,1.03628,1.04238
2735,2.735,1.03855,1.03966
2736,2.736,1.03855,1.04016
2737,2.737,1.03881,1.04152
2738,2.738,1.03544,1.0434
2739,2.739,1.0356,1.04374
2740,2.74,1.03426,1.0428
2741,2.741,1.04033,1.04127
2742,2.742,1.03703,1.0434
2743,2.743,1.03779,1.04152
2744,2.744,1.03839,1.0411
2745,2.745,1.03619,1.04093
2746,2.746,1.03636,1.03485
2747,2.747,1.03906,1.0428
2748,2.748,1.03754,1.03855
2749,2.749,1.03695,1.04212
2750,2.75,1.03628,1.04008
2751,2.751,1.03771,1.03611
2752,2.752,1.03678,1.04059
2753,2.753,1.03788,1.04357
2754,2.754,1.03982,1.04631
2755,2.755,1.03712,1.03881
2756,2.756,1.0394,1.03932
2757,2.757,1.03839,1.04008
2758,2.758,1.03628,1.0383
2759,2.759,1.03729,1.04451
2760,2.76,1.04033,1.04135
2761,2.761,1.03923,1.03872
2762,2.762,1.03779,1.0405
2763,2.763,1.03889,1.03872
2764,2.764,1.03889,1.03695
2765,2.765,1.03644,1.04221
2766,2.766,1.03796,1.04084
2767,2.767,1.03805,1.04067
2768,2.768,1.03653,1.03746
2769,2.769,1.03695,1.03359
2770,2.77,1.03788,1.03192
2771,2.771,1.03813,1.0411
2772,2.772,1.03771,1.03586
2773,2.773,1.03594,1.03636
2774,2.774,1.0372,1.03544
2775,2.775,1.0383,1.03889
2776,2.776,1.03839,1.03906
2777,2.777,1.03754,1.03915
2778,2.778,1.03763,1.03594
2779,2.779,1.03703,1.04186
2780,2.78,1.03779,1.04016
2781,2.781,1.0372,1.04255
2782,2.782,1.03409,1.03813
2783,2.783,1.0367,1.03746
2784,2.784,1.03898,1.03932
2785,2.785,1.03712,1.04323
2786,2.786,1.04127,1.0405
2787,2.787,1.0372,1.03763
2788,2.788,1.03796,1.03754
2789,2.789,1.03628,1.03991
2790,2.79,1.03729,1.04127
2791,2.791,1.03703,1.04186
2792,2.792,1.03695,1.0383
2793,2.793,1.0367,1.0383
2794,2.794,1.03796,1.03966
2795,2.795,1.03966,1.04178
2796,2.796,1.03636,1.03881
2797,2.797,1.0383,1.03889
2798,2.798,1.03822,1.0356
2799,2.799,1.03712,1.04101
2800,2.8,1.03805,1.03923
2801,2.801,1.03695,1.0383
2802,2.802,1.03687,1.03712
2803,2.803,1.03779,1.03872
2804,2.804,1.03476,1.03982
2805,2.805,1.03746,1.03788
2806,2.806,1.03872,1.0367
2807,2.807,1.0367,1.03644
2808,2.808,1.03779,1.03729
2809,2.809,1.03906,1.0411
2810,2.81,1.04127,1.03636
2811,2.811,1.03754,1.03476
2812,2.812,1.03847,1.0356
2813,2.813,1.03653,1.04042
2814,2.814,1.03569,1.04008
2815,2.815,1.03839,1.03855
2816,2.816,1.03966,1.03779
2817,2.817,1.03864,1.03864
2818,2.818,1.03779,1.03982
2819,2.819,1.03881,1.03754
2820,2.82,1.03796,1.03712
2821,2.821,1.03881,1.03822
2822,2.822,1.0383,1.03602
2823,2.823,1.03611,1.04135
2824,2.824,1.03898,1.03771
2825,2.825,1.0372,1.03527
2826,2.826,1.03476,1.03703
2827,2.827,1.03544,1.03695
2828,2.828,1.0394,1.03889
2829,2.829,1.04067,1.03535
2830,2.83,1.03737,1.03259
2831,2.831,1.03594,1.03796
2832,2.832,1.03661,1.03695
2833,2.833,1.03974,1.03779
2834,2.834,1.03805,1.02686
2835,2.835,1.03611,1.0372
2836,2.836,1.0383,1.03906
2837,2.837,1.03805,1.04152
2838,2.838,1.03839,1.03763
2839,2.839,1.03661,1.03468
2840,2.84,1.03586,1.03763
2841,2.841,1.03678,1.04152
2842,2.842,1.03847,1.04331
2843,2.843,1.03779,1.03957
2844,2.844,1.04033,1.04144
2845,2.845,1.03982,1.03932
2846,2.846,1.03932,1.03915
2847,2.847,1.03712,1.04101
2848,2.848,1.03476,1.03754
2849,2.849,1.03644,1.03932
2850,2.85,1.03695,1.04025
2851,2.851,1.03746,1.0411
2852,2.852,1.0367,1.03881
2853,2.853,1.03678,1.03695
2854,2.854,1.03932,1.03915
2855,2.855,1.03577,1.04093
2856,2.856,1.03729,1.04101
2857,2.857,1.03788,1.03628
2858,2.858,1.03763,1.03628
2859,2.859,1.03915,1.03805
2860,2.86,1.03805,1.04118
2861,2.861,1.03763,1.04127
2862,2.862,1.03949,1.03746
2863,2.863,1.03779,1.03737
2864,2.864,1.03788,1.04033
2865,2.865,1.03493,1.04135
2866,2.866,1.03703,1.03949
2867,2.867,1.03779,1.03763
2868,2.868,1.04067,1.03687
2869,2.869,1.03813,1.03949
2870,2.87,1.03788,1.0383
2871,2.871,1.03881,1.03712
2872,2.872,1.03746,1.03577
2873,2.873,1.03712,1.03611
2874,2.874,1.04135,1.03881
2875,2.875,1.03695,1.04606
2876,2.876,1.03737,1.03754
2877,2.877,1.03796,1.03839
2878,2.878,1.03864,1.03746
2879,2.879,1.03788,1.03889
2880,2.88,1.0356,1.03949
2881,2.881,1.03864,1.03839
2882,2.882,1.03661,1.03982
2883,2.883,1.03915,1.04178
2884,2.884,1.03771,1.03813
2885,2.885,1.03451,1.03906
2886,2.886,1.03805,1.0367
2887,2.887,1.03502,1.03779
2888,2.888,1.0367,1.03577
2889,2.889,1.03822,1.03932
2890,2.89,1.03982,1.03619
2891,2.891,1.04059,1.03813
2892,2.892,1.03974,1.03822
2893,2.893,1.03746,1.03982
2894,2.894,1.03864,1.03754
2895,2.895,1.03619,1.03746
2896,2.896,1.03771,1.03409
2897,2.897,1.03628,1.04374
2898,2.898,1.03636,1.03957
2899,2.899,1.03881,1.03898
2900,2.9,1.03687,1.03695
2901,2.901,1.03703,1.0372
2902,2.902,1.03703,1.03687
2903,2.903,1.03957,1.03779
2904,2.904,1.03703,1.03746
2905,2.905,1.03754,1.0351
2906,2.906,1.03915,1.03661
2907,2.907,1.03779,1.03586
2908,2.908,1.03864,1.03695
2909,2.909,1.04101,1.0372
2910,2.91,1.03644,1.03746
2911,2.911,1.03737,1.03889
2912,2.912,1.03788,1.03779
2913,2.913,1.03763,1.03586
2914,2.914,1.03594,1.03771
2915,2.915,1.03796,1.04008
2916,2.916,1.03712,1.03881
2917,2.917,1.03872,1.03746
2918,2.918,1.03779,1.03898
2919,2.919,1.03982,1.03788
2920,2.92,1.03712,1.04118
2921,2.921,1.03949,1.04093
2922,2.922,1.03813,1.0405
